Size,Selection,Mutation,Run,BestObjective1
250,Roleta,0.004,1,8145.54
250,Roleta,0.004,2,8252.05
250,Roleta,0.004,3,8056.02
250,Roleta,0.004,4,7920.08
250,Roleta,0.004,5,8371.65
250,Roleta,0.004,6,8071.48
250,Roleta,0.004,7,7905.4
250,Roleta,0.004,8,8008.54
250,Roleta,0.004,9,8025.3
250,Roleta,0.004,10,7784.47
250,Roleta,0.004,11,8657.2
250,Roleta,0.004,12,8562.54
250,Roleta,0.004,13,8559.47
250,Roleta,0.004,14,8139.52
250,Roleta,0.004,15,8148.35
250,Roleta,0.004,16,8063.13
250,Roleta,0.004,17,8602.24
250,Roleta,0.004,18,8297.74
250,Roleta,0.004,19,7743.59
250,Roleta,0.004,20,8314.09
250,Roleta,0.004,21,8091.4
250,Roleta,0.004,22,8596.44
250,Roleta,0.004,23,8750.8
250,Roleta,0.004,24,8587.12
250,Roleta,0.004,25,8544.47
250,Roleta,0.004,26,8572.23
250,Roleta,0.004,27,8333.92
250,Roleta,0.004,28,8599.87
250,Roleta,0.004,29,8480.15
250,Roleta,0.004,30,8264.32
250,Torneio,0.004,1,10179.5
250,Torneio,0.004,2,9485.26
250,Torneio,0.004,3,9749.95
250,Torneio,0.004,4,10040.1
250,Torneio,0.004,5,9192.58
250,Torneio,0.004,6,9892.72
250,Torneio,0.004,7,9596.51
250,Torneio,0.004,8,9714.7
250,Torneio,0.004,9,10089.6
250,Torneio,0.004,10,9231.73
250,Torneio,0.004,11,9784.6
250,Torneio,0.004,12,10056.4
250,Torneio,0.004,13,9613.44
250,Torneio,0.004,14,10212.5
250,Torneio,0.004,15,9783.57
250,Torneio,0.004,16,9689.91
250,Torneio,0.004,17,9370.36
250,Torneio,0.004,18,9997.89
250,Torneio,0.004,19,9485.04
250,Torneio,0.004,20,9766.76
250,Torneio,0.004,21,9317.42
250,Torneio,0.004,22,10124.8
250,Torneio,0.004,23,9463.31
250,Torneio,0.004,24,8807.08
250,Torneio,0.004,25,9445.91
250,Torneio,0.004,26,9609.52
250,Torneio,0.004,27,9616.63
250,Torneio,0.004,28,10233.3
250,Torneio,0.004,29,9355.26
250,Torneio,0.004,30,9862.39
500,Roleta,0.002,1,15491.2
500,Roleta,0.002,2,16009.1
500,Roleta,0.002,3,15632
500,Roleta,0.002,4,15693.3
500,Roleta,0.002,5,15298.8
500,Roleta,0.002,6,15711.6
500,Roleta,0.002,7,15771.1
500,Roleta,0.002,8,15594.2
500,Roleta,0.002,9,15266.4
500,Roleta,0.002,10,15651
500,Roleta,0.002,11,15686.5
500,Roleta,0.002,12,15364.7
500,Roleta,0.002,13,15706.4
500,Roleta,0.002,14,15960.4
500,Roleta,0.002,15,15664.1
500,Roleta,0.002,16,14920.4
500,Roleta,0.002,17,15284.2
500,Roleta,0.002,18,15156.6
500,Roleta,0.002,19,15985.1
500,Roleta,0.002,20,14849.7
500,Roleta,0.002,21,16105.4
500,Roleta,0.002,22,16040
500,Roleta,0.002,23,14975.3
500,Roleta,0.002,24,15850.8
500,Roleta,0.002,25,15557.1
500,Roleta,0.002,26,16274
500,Roleta,0.002,27,15911.9
500,Roleta,0.002,28,16023.9
500,Roleta,0.002,29,15624.5
500,Roleta,0.002,30,16866.3
500,Torneio,0.002,1,19297.7
500,Torneio,0.002,2,18881.7
500,Torneio,0.002,3,19249.6
500,Torneio,0.002,4,19665.9
500,Torneio,0.002,5,20210.4
500,Torneio,0.002,6,20205.6
500,Torneio,0.002,7,19380.5
500,Torneio,0.002,8,19918.7
500,Torneio,0.002,9,19482
500,Torneio,0.002,10,18969.9
500,Torneio,0.002,11,18991.6
500,Torneio,0.002,12,19398.4
500,Torneio,0.002,13,20008.6
500,Torneio,0.002,14,19080
500,Torneio,0.002,15,19362
500,Torneio,0.002,16,20015.7
500,Torneio,0.002,17,19338.9
500,Torneio,0.002,18,19687.4
500,Torneio,0.002,19,19949.4
500,Torneio,0.002,20,19048.8
500,Torneio,0.002,21,18681.5
500,Torneio,0.002,22,20023.6
500,Torneio,0.002,23,19959.2
500,Torneio,0.002,24,18917.3
500,Torneio,0.002,25,19312.1
500,Torneio,0.002,26,19786.1
500,Torneio,0.002,27,19246.6
500,Torneio,0.002,28,19745.5
500,Torneio,0.002,29,19626.1
500,Torneio,0.002,30,19761
750,Roleta,0.00133333,1,22060.4
750,Roleta,0.00133333,2,21267.8
750,Roleta,0.00133333,3,22939.9
750,Roleta,0.00133333,4,22563.4
750,Roleta,0.00133333,5,22539.3
750,Roleta,0.00133333,6,22804.4
750,Roleta,0.00133333,7,21933.5
750,Roleta,0.00133333,8,22625
750,Roleta,0.00133333,9,23492.9
750,Roleta,0.00133333,10,22032.4
750,Roleta,0.00133333,11,23114
750,Roleta,0.00133333,12,22655.4
750,Roleta,0.00133333,13,23214.2
750,Roleta,0.00133333,14,23015.1
750,Roleta,0.00133333,15,23613.2
750,Roleta,0.00133333,16,23451
750,Roleta,0.00133333,17,23276.7
750,Roleta,0.00133333,18,22974.8
750,Roleta,0.00133333,19,22971.4
750,Roleta,0.00133333,20,22885.1
750,Roleta,0.00133333,21,23002.3
750,Roleta,0.00133333,22,22057.4
750,Roleta,0.00133333,23,22269.9
750,Roleta,0.00133333,24,22157.5
750,Roleta,0.00133333,25,23014.7
750,Roleta,0.00133333,26,22173.7
750,Roleta,0.00133333,27,22782.9
750,Roleta,0.00133333,28,22514.4
750,Roleta,0.00133333,29,22096.9
750,Roleta,0.00133333,30,22757.7
750,Torneio,0.00133333,1,28269.2
750,Torneio,0.00133333,2,28733.3
750,Torneio,0.00133333,3,27755.7
750,Torneio,0.00133333,4,29861.9
750,Torneio,0.00133333,5,28841.1
750,Torneio,0.00133333,6,29762
750,Torneio,0.00133333,7,29184
750,Torneio,0.00133333,8,29871.2
750,Torneio,0.00133333,9,28761.1
750,Torneio,0.00133333,10,28786.8
750,Torneio,0.00133333,11,29288.5
750,Torneio,0.00133333,12,29085.9
750,Torneio,0.00133333,13,29078.7
750,Torneio,0.00133333,14,28451.1
750,Torneio,0.00133333,15,28624.3
750,Torneio,0.00133333,16,29659.2
750,Torneio,0.00133333,17,30185.7
750,Torneio,0.00133333,18,29488.9
750,Torneio,0.00133333,19,28559.5
750,Torneio,0.00133333,20,28611.3
750,Torneio,0.00133333,21,29001.1
750,Torneio,0.00133333,22,28758.7
750,Torneio,0.00133333,23,27639
750,Torneio,0.00133333,24,29170.3
750,Torneio,0.00133333,25,28930.3
750,Torneio,0.00133333,26,28846.5
750,Torneio,0.00133333,27,29711.7
750,Torneio,0.00133333,28,29065.1
750,Torneio,0.00133333,29,28287.2
750,Torneio,0.00133333,30,29397.1
1000,Roleta,0.001,1,29406.6
1000,Roleta,0.001,2,30277.3
1000,Roleta,0.001,3,29661.4
1000,Roleta,0.001,4,30678.1
1000,Roleta,0.001,5,29937
1000,Roleta,0.001,6,29728.3
1000,Roleta,0.001,7,30083
1000,Roleta,0.001,8,29963.3
1000,Roleta,0.001,9,31255.3
1000,Roleta,0.001,10,30605.9
1000,Roleta,0.001,11,30008.1
1000,Roleta,0.001,12,30492
1000,Roleta,0.001,13,29859.6
1000,Roleta,0.001,14,29188.1
1000,Roleta,0.001,15,29355.1
1000,Roleta,0.001,16,28648.9
1000,Roleta,0.001,17,29611.8
1000,Roleta,0.001,18,28711.6
1000,Roleta,0.001,19,30856.7
1000,Roleta,0.001,20,30222.7
1000,Roleta,0.001,21,28940.3
1000,Roleta,0.001,22,29916.1
1000,Roleta,0.001,23,30662.5
1000,Roleta,0.001,24,28731.8
1000,Roleta,0.001,25,29513.1
1000,Roleta,0.001,26,28255.3
1000,Roleta,0.001,27,29591.2
1000,Roleta,0.001,28,29290.9
1000,Roleta,0.001,29,29231.2
1000,Roleta,0.001,30,29621.4
1000,Torneio,0.001,1,37202.3
1000,Torneio,0.001,2,38303.7
1000,Torneio,0.001,3,37125.4
1000,Torneio,0.001,4,38069.2
1000,Torneio,0.001,5,37739.7
1000,Torneio,0.001,6,37763.3
1000,Torneio,0.001,7,37356.7
1000,Torneio,0.001,8,37171.2
1000,Torneio,0.001,9,37165.3
1000,Torneio,0.001,10,38281.9
1000,Torneio,0.001,11,37921.9
1000,Torneio,0.001,12,37664.1
1000,Torneio,0.001,13,38114.8
1000,Torneio,0.001,14,37487
1000,Torneio,0.001,15,38524.3
1000,Torneio,0.001,16,37807.2
1000,Torneio,0.001,17,38025.8
1000,Torneio,0.001,18,36849.5
1000,Torneio,0.001,19,38275.3
1000,Torneio,0.001,20,37713.7
1000,Torneio,0.001,21,38608.1
1000,Torneio,0.001,22,39705.6
1000,Torneio,0.001,23,37004.1
1000,Torneio,0.001,24,37815.4
1000,Torneio,0.001,25,38380.4
1000,Torneio,0.001,26,38691.8
1000,Torneio,0.001,27,38588.1
1000,Torneio,0.001,28,37444.6
1000,Torneio,0.001,29,37596.2
1000,Torneio,0.001,30,37620.1
